Epoch,IDBatch,Loss,Accuracy
0.0,0.0,3075.583740234375,0.17383384704589844
0.0,1.0,2688.1025390625,0.16563814878463745
0.0,2.0,2742.74462890625,0.17823350429534912
0.0,3.0,2349.851806640625,0.16941814124584198
0.0,4.0,2253.546875,0.16636474430561066
0.0,5.0,2075.19873046875,0.17625683546066284
0.0,6.0,1705.112060546875,0.37340399622917175
0.0,7.0,1970.197998046875,0.29955267906188965
0.0,8.0,1802.8179931640625,0.3576849699020386
0.0,9.0,1769.686279296875,0.3557843863964081
0.0,10.0,1734.547119140625,0.33812448382377625
0.0,11.0,1995.78857421875,0.31124964356422424
0.0,12.0,1875.2655029296875,0.3356799781322479
0.0,13.0,1742.4697265625,0.28335294127464294
0.0,14.0,1639.84130859375,0.2616400718688965
0.0,15.0,1739.946044921875,0.17585837841033936
0.0,16.0,1785.1458740234375,0.2047775536775589
0.0,17.0,1628.596923828125,0.18112871050834656
0.0,18.0,1698.99365234375,0.17416617274284363
0.0,19.0,1548.2353515625,0.3382326066493988
0.0,20.0,1742.307373046875,0.34558793902397156
0.0,21.0,1648.685546875,0.3480949103832245
0.0,22.0,1765.2357177734375,0.3466821610927582
0.0,23.0,1633.5413818359375,0.33368420600891113
0.0,24.0,1653.938720703125,0.32264697551727295
0.0,25.0,1842.1378173828125,0.19810301065444946
0.0,26.0,1551.5491943359375,0.3200788199901581
0.0,27.0,1791.135498046875,0.279474139213562
0.0,28.0,1524.4371337890625,0.3170664608478546
0.0,29.0,1567.41357421875,0.3055574595928192
0.0,30.0,1689.82177734375,0.3111322522163391
0.0,31.0,1724.530029296875,0.2796894907951355
0.0,32.0,1873.18359375,0.28420010209083557
0.0,33.0,1634.5419921875,0.2804813086986542
0.0,34.0,1659.60498046875,0.2954533100128174
0.0,35.0,1600.553955078125,0.3185552954673767
0.0,36.0,1570.103271484375,0.30949822068214417
0.0,37.0,1690.326904296875,0.2636612057685852
0.0,38.0,1539.6455078125,0.26276135444641113
0.0,39.0,1674.075439453125,0.2408704161643982
0.0,40.0,1474.2642822265625,0.2445061206817627
0.0,41.0,1606.322509765625,0.15028440952301025
0.0,42.0,1779.6444091796875,0.14323753118515015
0.0,43.0,1579.500732421875,0.16671910881996155
0.0,44.0,1652.724609375,0.16894379258155823
0.0,45.0,1504.2843017578125,0.22949962317943573
0.0,46.0,1656.267333984375,0.1605394333600998
0.0,47.0,1602.27001953125,0.1563984453678131
0.0,48.0,1427.327880859375,0.16453096270561218
0.0,49.0,1636.8651123046875,0.26396167278289795
0.0,50.0,1485.1915283203125,0.2852477729320526
0.0,51.0,1584.852294921875,0.2790614366531372
0.0,52.0,1503.4173583984375,0.2821449041366577
0.0,53.0,1461.9398193359375,0.26746228337287903
0.0,54.0,1568.6427001953125,0.27953866124153137
0.0,55.0,1650.8997802734375,0.30861079692840576
0.0,56.0,1548.1241455078125,0.29977062344551086
0.0,57.0,1431.7371826171875,0.30314117670059204
0.0,58.0,1572.406005859375,0.3041699230670929
0.0,59.0,1499.22705078125,0.2864559292793274
0.0,60.0,1572.397705078125,0.27466800808906555
0.0,61.0,1447.8922119140625,0.30280131101608276
0.0,62.0,1606.45947265625,0.26709190011024475
0.0,63.0,1621.0577392578125,0.27715083956718445
0.0,64.0,1632.1212158203125,0.26771771907806396
0.0,65.0,1341.28173828125,0.2708469331264496
0.0,66.0,1492.94580078125,0.2938287556171417
0.0,67.0,1498.421142578125,0.1743730753660202
0.0,68.0,1504.8968505859375,0.14367106556892395
0.0,69.0,1514.8653564453125,0.17285087704658508
0.0,70.0,1420.169677734375,0.14621087908744812
0.0,71.0,1475.3602294921875,0.18753647804260254
0.0,72.0,1377.66845703125,0.1957470178604126
0.0,73.0,1468.303955078125,0.2976894676685333
0.0,74.0,1527.6624755859375,0.29725149273872375
0.0,75.0,1462.0184326171875,0.2930806875228882
0.0,76.0,1373.078125,0.28704363107681274
0.0,77.0,1557.55078125,0.28372669219970703
0.0,78.0,1592.766845703125,0.2838488221168518
0.0,79.0,1303.423095703125,0.30319878458976746
0.0,80.0,1509.5927734375,0.289164662361145
0.0,81.0,1542.4130859375,0.2968425750732422
0.0,82.0,1474.9007568359375,0.2955367863178253
0.0,83.0,1360.77490234375,0.3380071520805359
0.0,84.0,1466.2020263671875,0.32525479793548584
0.0,85.0,1458.306640625,0.2955213487148285
0.0,86.0,1458.1087646484375,0.31841811537742615
0.0,87.0,1570.3978271484375,0.3032994568347931
0.0,88.0,1624.23193359375,0.2994258999824524
0.0,89.0,1422.714111328125,0.2921409606933594
0.0,90.0,1411.702392578125,0.30594903230667114
0.0,91.0,1515.5262451171875,0.24804820120334625
0.0,92.0,1286.8804931640625,0.16258548200130463
0.0,93.0,1480.1468505859375,0.14454442262649536
0.0,94.0,1423.376708984375,0.16394326090812683
0.0,95.0,1415.17822265625,0.18052831292152405
0.0,96.0,1385.7801513671875,0.21015232801437378
0.0,97.0,1538.529296875,0.28755632042884827
